"var","tau","pvalue"
"TN",0.113665723245079,0.652108605382811
"TOC",0.288888888888889,0.291248346560847
"CN",-0.269679944985297,0.281198099564179
"BMD",0.460043706228236,0.0694190749993639
"Mud",0.111111111111111,0.727489528218695
