Aspect_E,Aspect_N,BPI,Depth,Seabed_curv,Slope,Current_bottom,Direction_curr_E,Direction_curr_N,Current_surface,Change_curr_bottom,Change_curr_surface,Sed_kurt,Sed_med,Mudcontent,Sed_skew,Sed_sort,BMD,Penetration_depth,TOC,TN,CN,VEAS_dist
0.2047031682,0.0848663611,0.5539277169,0.6611347057,0.5086464326,0.0958588692,0.6715940607,0.4255510334,0.6158251639,0.645150862,0.981928236,0.8128362113,0.5153039997,0.3937002142,0.6308331483,0.5220138173,0.2085293398,0.4880568282,0.4815393695,0.5187777198,0.3127117861,0.7746350321,0.5506406369
0.152265793,0.2172298248,0.4765199524,0.5266020677,0.4858177747,0.0986095068,0.3238394107,0.8858018314,0.9861620869,0.9063518327,0.54054132,0,0.5831976932,0.4680875668,0.5156201193,0.4624013986,0.3412338289,0.5531419511,0.4280827174,0.6447489367,0.5160829279,0.5764930747,0.1324580726
0.9883658188,0.7120853674,0.5534682094,0.3762123174,0.5157563229,0.6316092031,0.6038458333,0.0903474417,0.4280917555,0.4332725623,0.5218876728,0.4982750887,0.5330334263,0.5225752375,0.6471583953,0.7916252028,0.6961417589,0.4880568282,0.9308926637,0.4162773247,0.3958785443,0.5251079299,0.6072101829
0.6149607755,0.1463371657,0.4803574727,0.1190712882,0.5058286661,0.5139258833,0.3412825405,0.0903474417,0.4280917555,0.208226727,0.5529184168,0.4200440358,0.9594471243,0.3648224572,0.8900755631,0.9713458165,0.5513015161,0.4239087397,0.3309495369,0.3758955735,0.4162820546,0.4316835495,0.6283612302
0.7627438992,0.365729018,0.5656809725,0.3477008668,0.547621214,0.613233126,0.377411458,0.2784537384,0.2016916463,0.8918953965,0.5029915359,0.2777913517,0.5153039997,0.6785616769,0.2002820866,0.3727946241,0.7845872658,0.6861782502,0.6900698149,0.6235254071,0.5933885188,0.43726134,0.2772970094
0.6261986307,0.1639258931,0.4535785615,0.946275077,0.416335878,0.5720475884,0.4439135041,0,0.3847591908,0.6267014169,0.4803918238,0.3514336858,0.3958408085,0.7369676405,0.1423911219,0.2463315092,0.7677244533,1,0.4280827174,0.4980994153,0.5550081,0.3487864065,0.0299112616
0.6695558681,0.2304653148,0.4907628224,0.7147807495,0.4897961284,0.6424930847,0.49857585,0,0.3044144527,0.7250943596,0.5749587003,0.8708710265,0.5831976932,0.4731327198,0.6982080871,0.8152058686,0.5738127504,0.6861782502,0.3973396887,0.4162773247,0.5160829279,0.2998273522,0.2550138632
0.055279024,0.4953364699,0.3520420578,0.5650261689,0.5513220266,0.6400915821,0.4205442117,0.8505275027,1,1,0.7998580726,0.0301057856,0.550239241,0.46461155,0.4609224428,0.3289068412,0.1320235884,0.4880568282,0.3973396887,0.7143646473,0.5933885188,0.5267243279,0.1599964178
0.0854458165,0.9550458963,0.6179433887,0,0.7732178936,0.4084781241,0.6521273088,0.2784537384,0.5198288576,0,0.5699689579,0.4193571878,0.4175307581,1,0,0,0.3412338289,0.0288728931,0.0027841858,0,0,0.7359509283,0.8551007831
0.0464650053,0.5244859518,0.0167640747,0.8190316878,0.4902573831,0.8406601409,0.2305669171,1,0.2334626725,0.7911250469,0.3603895385,0.5136808531,0.5669514869,0.5677479836,0.2646588335,0.1884296883,0.1712656649,0.2675499893,0.2126231504,0.7522585073,0.6123791692,0.5329465175,0.1873885163
0.1106371929,0.9694218821,0.4537074803,0.2317974328,0.4616815016,0.1537871592,0.2467243354,0.538229296,0.0992998561,0.4194448351,0.5806705063,0.6249579104,0.8487774135,0,0.9181080267,0.7036012859,0.1320235884,0.4880568282,0.4094041444,0.5032605857,0.4566392552,0.5251079299,0.6077834968
0.231231324,0.0239665095,0.4960601048,0.1819346578,0.5231496423,0.5484737494,0.4016509536,0.8505275027,1,0.3104456458,0.6441559428,0.5567964674,0.9677866543,0.3528700369,0.8748208239,0.9434783328,0.5513015161,0.5531419511,0.6244238313,0.3035906048,0.3127117861,0.5263517509,0.585376751
